dimensions,description,product_number,number
42 x 42 – 60 x 36H,Round / Oval Counter Height Table with Storage Base,2423,2423-36
18 x 20 x 41H,Counter Height Chair,2423,2423-24
,Counter Height Chair,5302BK,5302BK
18 x 9 x 18H,"Stool, RTA, 18""H, Black",5302BK,5302BK-18
18 x 9 x 24H,"Stool, RTA, 24""H, Black",5302BK,5302BK-24
18 x 9 x 29H,"Stool, RTA, 29""H, Black",5302BK,5302BK-29
,"Stool, RTA, 29""H, Black",5302A,5302A
18 x 9 x 18H,"Stool, RTA, 18""H, Oak",5302A,5302A-18
18 x 9 x 24H,"Stool, RTA, 24""H, Oak",5302A,5302A-24
18 x 9 x 29H,"Stool, RTA, 29""H, Oak",5302A,5302A-29
,"Stool, RTA, 29""H, Oak",5302C,5302C
18 x 9 x 18H,"Stool, RTA, 18""H, Cherry",5302C,5302C-18
18 x 9 x 24H,"Stool, RTA, 24""H, Cherry",5302C,5302C-24
18 x 9 x 29H,"Stool, RTA, 29""H, Cherry",5302C,5302C-29
48 x 48 x 36H,Counter Height Table,5351,5351-36
18 x 22 x 40H,Counter Height Chair,5351,5351-24
41 x 15 x 25H,Counter Height Bench,5351,5351-24BH
47 x 26 x 40H,Counter Height Corner Seat,5351,5351-24CR
41 x 22 x 40H,Counter Height 2-Seater Chair,5351,5351-24TS
46 x 60 – 78 x 30H,Dining Table,5448,5448-78
20.5 x 27.25 x 38.25H,Side Chair,5448,5448S
48 Dia x 30H,Round Dining Table,5327,5327-48
20.5 x 24 x 40.75H,Side Chair,5327,5327S
36 x 60 x 29.5H,Dining Table,5445,5445-60
17.75 x 20.8 x 40H,Side Chair,5445,5445BKS
36 x 60 x 30H,Side Chair,3270,3270-60
19 x 24 x 38.5H,Side Chair,3270,3270-S1W
19 x 24 x 38.5H,Side Chair,3270,3270-S1BK
48 x 48 x 36H,Side Chair,3270,3270-36
19 x 23 x 39H,Side Chair,3270,3270-24S1W
19 x 23 x 39H,Side Chair,3270,3270-24S1BK
36 x 48 x 30H,Side Chair,3270,3270-48
19 x 24 x 38.5H,Side Chair,3270,3270-S1W
19 x 24 x 38.5H,Side Chair,3270,3270-S1BK
54 x 36 – 54 x 36H,Counter Height Table,1393W,1393W-36
19.5 x 22 x 42.5H,Counter Height Chair,1393W,1393W-24
45.5 x 18 x 54H,Curio,1393W,1393W-50
48 x 56 – 72 x 36H,Counter Height Table with Storage Base,626,626-36
21 x 24 x 42H,Counter Height Chair,626,626-24
53 x 18 x 36H,Server,626,626-40
48 Dia x 30H,Round Dining Table,1393BK,1393BK-48
19.5 x 23 x 40.5H,Side Chair,1393BK,1393BKS
45.5 x 18 x 54H,Curio,1393BK,1393BK-50
42 x 60 – 78 x 30H,Dining Table,1393W,1393W-78
19.5 x 23 x 40.5H,Side Chair,1393W,1393WS
45.5 x 18 x 54H,Curio,1393W,1393W-50
48 Dia x 30H,Round Dining Table,1393W,1393W-48
19.5 x 23 x 40.5H,Side Chair,1393W,1393WS
45.5 x 18 x 54H,Curio,1393W,1393W-50
42 x 60 – 78 x 30H,Dining Table,1393BK,1393BK-78
19.5 x 23 x 40.5H,Side Chair,1393BK,1393BKS
45.5 x 18 x 54H,Curio,1393BK,1393BK-50
54 x 36 – 54 x 36H,Counter Height Table,1393BK,1393BK-36
19.5 x 22 x 42.5H,Counter Height Chair,1393BK,1393BK-24
45.5 x 18 x 54H,Curio,1393BK,1393BK-50
54 x 54 x 30H,Dining Table,5235,5235-54
20 x 23 x 38H,Side Chair,5235,5235S
42 x 64 – 82 x 30H,Dining Table,586,586-82
20 x 23 x 40H,Side Chair,586,586S
60 x 16 x 20H,"60"" Bench",586,586-14
52 x 18 x 33H,Server,586,586-40
42 x 66 x 30H,Dining Table,586,586
20 x 23 x 40H,Side Chair,586,586S
48 x 16 x 20H,"48"" Bench",586,586-13
52 x 18 x 33H,Server,586,586-40
40 x 58 – 76 x 30H,Oval Dining Table,586,586-76
20 x 23 x 40H,Side Chair,586,586S
48 x 16 x 20H,"48"" Bench",586,586-13
60 x 16 x 20H,"60"" Bench",586,586-14
52 x 18 x 33H,Server,586,586-40
54 x 36 – 54 x 36H,Counter Height Table,586,586-36
20 x 22 x 41H,Counter Height Chair,586,586-24
52 x 18 x 33H,Server,586,586-40
60 Dia x 30H,Round Dining Table,586,586-60
20 x 23 x 40H,Side Chair,586,586S
52 x 18 x 33H,Server,586,586-40
54 x 40 – 54 x 36H,Counter Height Table,727,727-36
19 x 22.5 x 42.5H,Counter Height Chair,727,727-24
52 x 18 x 34H,Server,727,727-40
42 x 64 – 82 x 30H,Dining Table,5346,5346-82
19 x 23 x 40H,Side Chair,5346,5346S
60 x 17 x 20H,"60"" Bench",5346,5346-14
52 x 18.25 x 36H,Server,5346,5346-40
60 x 48 – 60 x 36H,Counter Height Table,5346,5346-36
19.5 x 21.25 x 41H,Counter Height Chair,5346,5346-24
52 x 18.25 x 36H,Server,5346,5346-40
42 x 60 – 78 x 30H,Dining Table,1372,1372-78
19.5 x 22.5 x 40H,Side Chair,1372,1372S
54 x 18 x 36H,Server,1372,1372-40
60 x 42 – 60 x 36H,Counter Height Table,1372,1372-36
19.25 x 22.5 x 43.25H,Counter Height Chair,1372,1372-24
54 x 18 x 36H,Server,1372,1372-40
42 x 54 – 72 x 30H,Dining Table,727,727-72
19 x 23 x 38H,Side Chair,727,727S
52 x 18 x 34H,Server,727,727-40
54 Dia x 36H,Server,710,710-36RD
20.5 x 24.5 x 40H,Server,710,710-24
20.5 x 24.5 x 40H,Server,710,710-24W
52 x 18 x 36H,Server,710,710-40
42 x 72 x 30H,Server,710,710-72
20.5 x 24.5 x 40H,Server,710,710WS
20.5 x 24.5 x 40H,Server,710,710S
52 x 18 x 36H,Server,710,710-40
54 Dia x 30H,Server,710,710-54
20.5 x 24.5 x 40H,Server,710,710S
20.5 x 24.5 x 40H,Server,710,710WS
52 x 18 x 36H,Server,710,710-40
44 x 72 – 90 – 108 x 30H,Dining Table,1394,1394-108
27 x 26 x 43.75H,Dining Table,1394,1394A
20.5 x 26 x 43.75H,Dining Table,1394,1394S
70 x 20 x 90H,Buffet & Hutch,1394,1394-50
66 x 19.5 x 40H,Server with Marble Insert,1394,1394-40
44 x 78 – 90 – 102 x 30H,Dining Table,1390,1390-102
25 x 26.2 x 42.2H,Arm Chair,1390,1390A
21 x 26.2 x 42.2H,Side Chair,1390,1390S
69.8 x 20 x 88H,Buffet & Hutch,1390,1390-50
65.3 x 19 x 42H,Server,1390,1390-40
60 x 60 – 76 x 30H,Round / Oval Pedestal Dining Table,1390,1390-76
25 x 26.2 x 42.2H,Arm Chair,1390,1390A
21 x 26.2 x 42.2H,Side Chair,1390,1390S
69.8 x 20 x 88H,Buffet & Hutch,1390,1390-50
65.3 x 19 x 42H,Server,1390,1390-40
33.5 x 17 x 79H,Server,4517,4517
,Server,5511,5511-36
,Server,5511,5511
20.5 x 23 x 44.5H,Swivel Pub Height Stool,5447,5447-29FAS
20.5 x 23 x 41.25H,Swivel Counter Height Chair,5447,5447-24FAS
19 x 11.5 x 29H,Pub Height Stool,5323,5323-29
19 x 11.5 x 24H,Counter Height Stool,5323,5323-24
,Counter Height Stool,5309,5309-3A
,Counter Height Stool,5275,5275
,Counter Height Stool,5106BK,5106BK
,Counter Height Stool,5050,5050-36
,Counter Height Stool,5103,5103
,Counter Height Stool,5104,5104
,Counter Height Stool,5067,5067
,Counter Height Stool,2558,2558
20.75 x 23 x 46.5H,Swivel Pub Height Chair,5447,5447-29S
,Swivel Pub Height Chair,2514BK,2514BK-36
,Swivel Pub Height Chair,2513,2513
,Swivel Pub Height Chair,2458,2458
,Swivel Pub Height Chair,2505BK,2505BK-36
,Swivel Pub Height Chair,2469,2469
,Swivel Pub Height Chair,2458,2458-36
,Swivel Pub Height Chair,2459,2459
20.5 x 23 x 41.25H,Swivel Counter Height Chair,5447,5447-24S
,Swivel Counter Height Chair,2425,2425-36
,Swivel Counter Height Chair,5310BK,5310BK
,Swivel Counter Height Chair,5310C,5310C
,Swivel Counter Height Chair,5310W,5310W
18 x 19 x 38H,Swivel Counter Height Chair,1140E,1140E-24S
18 x 19 x 43H,Swivel Counter Height Chair,1140E,1140E-29S
18 x 19 x 38H,Swivel Counter Height Chair,1144E,1144E-24S
18 x 19 x 43H,Swivel Counter Height Chair,1144E,1144E-29S
