dimensions,description,product_number,number
47.75 x 18 x 31H,Writing Desk,2046T-1,2046-15
HB: 58.25H FB: 27.5H,Twin Bed,1977T-1,1977T-1
28 x 16 x 27.75H,Night Stand,1977T-1,1977-4
62 x 17.75 x 38.25H,Dresser,1977T-1,1977-5
46 x 2.5 x 36H,Mirror,1977T-1,1977-6
38 x 17.75 x 52.25H,Chest,1977T-1,1977-9
41.5 x 22 x 67.75H,Armoire,1977T-1,1977-7
HB: 52H FB: 18H,Twin Bed,1955T-1,1955T-1
22 x 16 x 23H,Night Stand,1955T-1,1955-4
58 x 16 x 36H,Dresser,1955T-1,1955-5
41 x 1 x 36H,Mirror,1955T-1,1955-6
34 x 16 x 48H,Chest,1955T-1,1955-9
HB: 59.25H FB: 16H,Twin Bed,1708T-1,1708T-1
24 x 17 x 27.5H,Night Stand,1708T-1,1708-4
59 x 18 x 37H,Dresser,1708T-1,1708-5
47.25 x 1 x 38H,Mirror,1708T-1,1708-6
36 x 18 x 48H,Chest,1708T-1,1708-9
81.5 x 58.5 x 77H,Twin/Full Bunk Bed,B1422-1F,B1422-1F
81.5 x 43.5 x 77H,Twin/Twin Bunk Bed,B1422-1F,B1422-1
75.5 x 41.5 x 9.5H,Twin Trundle,B1422-1F,B1422-R
47.5 x 13 x 46H,Writing Desk Hutch,B1422-1F,B1422-14
52 x 24 x 31H,Writing Desk,B1422-1F,B1422-15
HB: 54.25H FB: 16H,Twin Bed,1356TC-1,1356TC-1
HB: 54.25H FB: 16H,Full Bed,1356TC-1,1356FC-1
24 x 16 x 23.75H,Night Stand,1356TC-1,1356C-4
54.25 x 19 x 33H,Dresser,1356TC-1,1356C-5
39 x 2.5 x 35H,Mirror,1356TC-1,1356C-6
32 x 19 x 48H,Chest,1356TC-1,1356C-9
82 x 41 x 56H,Day Bed,1386DNC-1,1386DNC-1
48 x 12.5 x 34H,Writing Desk Hutch,1386DNC-1,1386NC-10
50 x 24 x 30H,Writing Desk,1386DNC-1,1386NC-11
18 x 20 x 38H,Chair,1386DNC-1,1386NC-11C
35 x 19 x 55H,Armoire,1386DNC-1,1386NC-7
HB: 76H FB: 76H,Twin Canopy Poster Bed,1386TPPNC-1,1386TPPNC-1
HB: 76H FB: 76H,Full Canopy Poster Bed,1386TPPNC-1,1386FPPNC-1
74.5 x 38.5 x 10H,Twin Trundle for Canopy Bed,1386TPPNC-1,1386PPNC-R
24 x 17 x 29H,Night Stand,1386TPPNC-1,1386NC-4
56 x 18 x 33H,Dresser,1386TPPNC-1,1386NC-5
38 x 2 x 44H,Mirror,1386TPPNC-1,1386NC-6
33 x 18 x 48H,Chest,1386TPPNC-1,1386NC-9
HB: 76H FB: 76H,Twin Canopy Poster Bed,1386TPP-1,1386TPP-1
HB: 76H FB: 76H,Full Canopy Poster Bed,1386TPP-1,1386FPP-1
74.5 x 38.5 x 10H,Twin Trundle for Canopy Bed,1386TPP-1,1386PP-R
24 x 17 x 29H,Night Stand,1386TPP-1,1386-4
56 x 18 x 33H,Dresser,1386TPP-1,1386-5
38 x 2 x 44H,Mirror,1386TPP-1,1386-6
33 x 18 x 48H,Chest,1386TPP-1,1386-9
82 x 41 x 56H,Day Bed,1386D-1,1386D-1
48 x 12.5 x 34H,Writing Desk Hutch,1386D-1,1386-10
50 x 24 x 30H,Writing Desk,1386D-1,1386-11
18 x 20 x 38H,Chair,1386D-1,1386-11C
35 x 19 x 55H,Armoire,1386D-1,1386-7
HB: 50.25H FB: 30.5H,Twin Sleigh Bed,1856T-1,1856T-1
HB: 50.25H FB: 30.5H,Full Sleigh Bed,1856T-1,1856F-1
21.25 x 15.75 x 24H,Night Stand with Hidden Drawer,1856T-1,1856-4
59.5 x 17.5 x 34.5H,Dresser with Two Hidden Drawers,1856T-1,1856-5
38.5 x 1.25 x 38.25H,Mirror,1856T-1,1856-6
31.75 x 17.5 x 47.5H,Chest with Hidden Drawer,1856T-1,1856-9
HB: 44.5H FB: 13.5H,Twin Platform Bed,2220T-1,2220T-1
HB: 44.5H FB: 13.5H,Full Platform Bed,2220T-1,2220F-1
21.25 x 16 x 22H,Night Stand,2220T-1,2220-4
56.25 x 16 x 32.25H,Dresser,2220T-1,2220-5
28.75 x 0.75 x 38.75H,Mirror,2220T-1,2220-6
29.75 x 16 x 46.5H,Chest,2220T-1,2220-9
HB: 52H FB: 14H,Twin Bed,2145T-1,2145T-1
HB: 52H FB: 14H,Full Bed,2145T-1,2145F-1
23.5 x 16.25 x 24.5H,Night Stand,2145T-1,2145-4
58 x 16.25 x 36.5H,Dresser,2145T-1,2145-5
37.5 x 1 x 37.5H,Mirror,2145T-1,2145-6
35.5 x 16.25 x 48.75H,Chest,2145T-1,2145-9
HB: 49H FB: 18.75H,Twin Bed,1936T-1,1936T-1
HB: 49H FB: 18.75H,Full Bed,1936T-1,1936F-1
23.5 x 15.75 x 23H,Night Stand,1936T-1,1936-4
59 x 15.75 x 35.75H,Dresser,1936T-1,1936-5
37.25 x 0.75 x 38.5H,Mirror,1936T-1,1936-6
33.5 x 15.75 x 48H,Chest,1936T-1,1936-9
HB: 53.5H FB: 21.25H,Twin Bed,1904T-1,1904T-1
HB: 53.5H FB: 21.25H,Full Bed,1904T-1,1904F-1
23.5 x 16.5 x 26.75H,Night Stand,1904T-1,1904-4
59 x 16.5 x 36.75H,Dresser,1904T-1,1904-5
41 x 1.25 x 39H,Mirror,1904T-1,1904-6
33 x 16.5 x 50.25H,Chest,1904T-1,1904-9
HB: 47.25H FB: 26.5H,Twin Sleigh Bed,2147TSG,2147TSG-1
HB: 47.25H FB: 26.5H,Full Sleigh Bed,2147TSG,2147FSG-1
21.5 x 15.75 x 23.75H,Night Stand,2147TSG,2147SG-4
58.25 x 15.75 x 33H,Dresser,2147TSG,2147SG-5
38.25 x 0.75 x 38.25H,Mirror,2147TSG,2147SG-6
31.25 x 15.75 x 48.25H,Chest,2147TSG,2147SG-9
21.5 x 15.75 x 56H," Lingerie Chest, Hidden Drawer ",2147TSG,2147SG-12
79.5 x 58.5 x 80H,Twin / FULL Bunk Bed,B1799-1F,B1799-1F
79.5 x 42.5 x 80H,Twin / Twin Bunk Bed,B1799-1F,B1799-1
40.5 x 75.5 x 11.5H,Twin Trundle,B1799-1F,B1799-R
23.5 x 17 x 28H,Night Stand,B1799-1F,B1799-4
34 x 18 x 50H,Chest,B1799-1F,B1799-9
HB: 46.5H FB: 32H,Twin Platform Bed,B1799T-1,B1799T-1
HB: 46.5H FB: 32H,Full Platform Bed,B1799T-1,B1799F-1
40.5 x 75.5 x 11.5H,Twin Trundle,B1799T-1,B1799-R
23.5 x 17 x 28H,Night Stand,B1799T-1,B1799-4
54 x 17.5 x 34H,Dresser,B1799T-1,B1799-5
32 x 1.5 x 42H,Mirror,B1799T-1,B1799-6
34 x 18 x 50H,Chest,B1799T-1,B1799-9
HB: 47.25H FB: 26.5H,Twin Sleigh Bed,2147TBK,2147TBK-1
HB: 47.25H FB: 26.5H,Full Sleigh Bed,2147TBK,2147FBK-1
21.5 x 15.75 x 23.75H,Night Stand,2147TBK,2147BK-4
58.25 x 15.75 x 33H,Dresser,2147TBK,2147BK-5
38.25 x 0.75 x 38.25H,Mirror,2147TBK,2147BK-6
31.25 x 15.75 x 48.25H,Chest,2147TBK,2147BK-9
21.5 x 15.75 x 56H," Lingerie Chest, Hidden Drawer ",2147TBK,2147BK-12
HB: 47.25H FB: 26.5H,Twin Sleigh Bed,2147TW,2147TW-1
HB: 47.25H FB: 26.5H,Full Sleigh Bed,2147TW,2147FW-1
21.5 x 15.75 x 23.75H,Night Stand,2147TW,2147W-4
58.25 x 15.75 x 33H,Dresser,2147TW,2147W-5
38.25 x 0.75 x 38.25H,Mirror,2147TW,2147W-6
31.25 x 15.75 x 48.25H,Chest,2147TW,2147W-9
21.5 x 15.75 x 56H," Lingerie Chest, Hidden Drawer ",2147TW,2147W-12
HB: 52H FB: 27.5H,Twin Bed,1810T-1,1810T-1
HB: 52H FB: 27.5H,Full Bed,1810T-1,1810F-1
23 x 17 x 26H,Night Stand,1810T-1,1810-4
58 x 18 x 36H,Dresser,1810T-1,1810-5
45 x 1.5 x 38H,Mirror,1810T-1,1810-6
36 x 18 x 50H,Chest,1810T-1,1810-9
HB: 35H FB: 23H,Twin Metal Platform Bed,2021TW-1,2021TW-1
HB: 35H FB: 23H,Full Metal Platform Bed,2021TW-1,2021FW-1
HB: 35H FB: 23H,Twin Metal Platform Bed,2020TBK-1,2020TBK-1
HB: 35H FB: 23H,Full Metal Platform Bed,2020TBK-1,2020FBK-1
HB: 47.25H FB: 26.5H,Twin Sleigh Bed,2147T-1,2147T-1
HB: 47.25H FB: 26.5H,Full Sleigh Bed,2147T-1,2147F-1
21.5 x 15.75 x 23.75H,Night Stand,2147T-1,2147-4
58.25 x 15.75 x 33H,Dresser,2147T-1,2147-5
38.25 x 0.75 x 38.25H,Mirror,2147T-1,2147-6
31.25 x 15.75 x 48.25H,Chest,2147T-1,2147-9
21.5 x 15.75 x 56H," Lingerie Chest, Hidden Drawer ",2147T-1,2147-12
HB: 47.5H ,"California King/Eastern King Headboard, Dark Brown",815TPU-1,815KPU-1
HB: 47.5H ,Twin Headboard,815TPU-1,815TPU-1
HB: 47.5H ,"Queen/FULL Headboard, Dark Brown",815TPU-1,815PU-1
78 x 56.25 x 65.5H,Full / Full Bunk Bed,B2013FFDC-1,B2013FFDC-1
78 x 56.25 x 65.5H,Twin/Full Bunk Bed,B2013FFDC-1,B2013TFDC-1
78 x 42.5 x 65.5H,Twin/Twin Bunk Bed,B2013FFDC-1,B2013DC-1
74.75 x 40.5 x 10.75H,Twin Trundle,B2013FFDC-1,B2013DC-R
37.5 x 16.5 x 10.75H,Storage Boxes,B2013FFDC-1,B2013DC-T
23 x 17 x 21.75H,Night Stand,B2013FFDC-1,B2013DC-4
30 x 17 x 37.25H,Chest,B2013FFDC-1,B2013DC-9
HB: 54.25H FB: 27H,Twin Bed,1349T-1,1349T-1
HB: 54.25H FB: 27H,Full Bed,1349T-1,1349F-1
24 x 18 x 26H,Night Stand,1349T-1,1349-4
54 x 18 x 40H,Dresser,1349T-1,1349-5
39 x 2 x 33H,Mirror,1349T-1,1349-6
33 x 18 x 52H,Chest,1349T-1,1349-9
HB: 54.25H FB: 16H,Twin Bed,1356TBK-1,1356TBK-1
HB: 54.25H FB: 16H,Full Bed,1356TBK-1,1356FBK-1
24 x 16 x 23.75H,Night Stand,1356TBK-1,1356BK-4
54.25 x 19 x 33H,Dresser,1356TBK-1,1356BK-5
39 x 2.5 x 35H,Mirror,1356TBK-1,1356BK-6
32 x 19 x 48H,Chest,1356TBK-1,1356BK-9
46 x 24 x 30H,Writing Desk,1356TBK-1,1356BK-15
HB: 54.25H FB: 16H,Twin Bed,1356TW-1,1356TW-1
HB: 54.25H FB: 16H,Full Bed,1356TW-1,1356FW-1
24 x 16 x 23.75H,Night Stand,1356TW-1,1356W-4
54.25 x 19 x 33H,Dresser,1356TW-1,1356W-5
39 x 2.5 x 35H,Mirror,1356TW-1,1356W-6
32 x 19 x 48H,Chest,1356TW-1,1356W-9
46 x 24 x 30H,Writing Desk,1356TW-1,1356W-15
HB: 56H FB: 27.5H,Queen Bed,1386TNC-1,1386NC-1
HB: 56H FB: 27.5H,Full Bed,1386TNC-1,1386FNC-1
HB: 56H FB: 27.5H,Twin Bed,1386TNC-1,1386TNC-1
24 x 17 x 29H,Night Stand,1386TNC-1,1386NC-4
56 x 18 x 33H,Dresser,1386TNC-1,1386NC-5
38 x 2 x 44H,Mirror,1386TNC-1,1386NC-6
33 x 18 x 48H,Chest,1386TNC-1,1386NC-9
24 x 17 x 56H,7-Drawer Tall Chest,1386TNC-1,1386NC-12
HB: 57H FB: 20H,Twin Bed,2119TW-1,2119TW-1
HB: 57H FB: 20H,Full Bed,2119TW-1,2119FW-1
23.75 x 17 x 25.25H,Night Stand,2119TW-1,2119W-4
56 x 18 x 38H,Dresser,2119TW-1,2119W-5
37.5 x 2.25 x 42.25H,Mirror,2119TW-1,2119W-6
36 x 17 x 50.5H,Chest,2119TW-1,2119W-9
44 x 18 x 38.5H,TV Chest,2119TW-1,2119W-11
HB: 57H FB: 20H,Twin Bed,2119TBK-1,2119TBK-1
HB: 57H FB: 20H,Full Bed,2119TBK-1,2119FBK-1
23.75 x 17 x 25.25H,Night Stand,2119TBK-1,2119BK-4
56 x 18 x 38H,Dresser,2119TBK-1,2119BK-5
37.5 x 2.25 x 42.25H,Mirror,2119TBK-1,2119BK-6
36 x 17 x 50.5H,Chest,2119TBK-1,2119BK-9
44 x 18 x 38.5H,TV Chest,2119TBK-1,2119BK-11
HB: 54.25H FB: 21H,Twin Bed with Twin Trundle,1356TPRW-T,1356TPRW-1R
HB: 54.25H FB: 21H,Twin Bed with Three Storage Boxes,1356TPRW-T,1356TPRW-1T
HB: 54.25H FB: 21H,Full Bed with Twin Trundle,1356TPRW-T,1356FPRW-1R
HB: 54.25H FB: 21H,Full Bed with Three Storage Boxes,1356TPRW-T,1356FPRW-1T
24 x 16 x 23.75H,Night Stand,1356TPRW-T,1356W-4
32 x 19 x 48H,Chest,1356TPRW-T,1356W-9
46 x 24 x 30H,Writing Desk,1356TPRW-T,1356W-15
HB: 54.25H FB: 21H,Twin Bed with Twin Trundle,1356TPRBK-T,1356TPRBK-1R
HB: 54.25H FB: 21H,Twin Bed with Three Storage Boxes,1356TPRBK-T,1356TPRBK-1T
HB: 54.25H FB: 21H,Full Bed with Twin Trundle,1356TPRBK-T,1356FPRBK-1R
HB: 54.25H FB: 21H,Full Bed with Three Storage Boxes,1356TPRBK-T,1356FPRBK-1T
24 x 16 x 23.75H,Night Stand,1356TPRBK-T,1356BK-4
32 x 19 x 48H,Chest,1356TPRBK-T,1356BK-9
46 x 24 x 30H,Writing Desk,1356TPRBK-T,1356BK-15
79 x 41.75 x 62H,Twin/Twin Bunk Bed,B45-1,B45-1
78.5 x 41 x 66.75H,Twin/Twin Bunk Bed,B813T-1,B813T-1
78.5 x 56.75 x 66.75H,Twin/Full Bunk Bed,B813T-1,B813TF-1
22 x 16 x 22.75H,Night Stand,B813T-1,813-4
47.25 x 19 x 32H,Dresser,B813T-1,813-5
25 x 1 x 33.5H,Mirror,B813T-1,813-6
24 x 19 x 37.25H,Chest,B813T-1,813-9
HB: 56H FB: 27.5H,Queen Bed,1386T-1,1386-1
HB: 56H FB: 27.5H,Full Bed,1386T-1,1386F-1
HB: 56H FB: 27.5H,Twin Bed,1386T-1,1386T-1
24 x 17 x 29H,Night Stand,1386T-1,1386-4
56 x 18 x 33H,Dresser,1386T-1,1386-5
38 x 2 x 44H,Mirror,1386T-1,1386-6
33 x 18 x 48H,Chest,1386T-1,1386-9
24 x 17 x 56H,7-Drawer Tall Chest,1386T-1,1386-12
HB: 44H FB: 34H,Twin Bed,B1422T-1,B1422T-1
HB: 44H FB: 34H,Full Bed,B1422T-1,B1422F-1
81.5 x 43.5 x 77H,Twin/Twin Bunk Bed,B1422T-1,B1422-1
81.5 x 58.5 x 77H,Twin/Full Bunk Bed,B1422T-1,B1422-1F
75.5 x 41.5 x 9.5H,Twin Trundle,B1422T-1,B1422-R
23.5 x 15.5 x 26H,Night Stand,B1422T-1,B1422-4
56 x 18 x 34.5H,Dresser,B1422T-1,B1422-5
34 x 2 x 42H,Mirror,B1422T-1,B1422-6
35 x 18 x 51H,Chest,B1422T-1,B1422-9
47.5 x 13 x 46H,Writing Desk Hutch,B1422T-1,B1422-14
52 x 24 x 31H,Writing Desk,B1422T-1,B1422-15
," Daybed with Trundle 
Daybed:  85 Ã 40.5 Ã 35.75H 
Trundle:  76 Ã 40 Ã 11.5H ",4971,4971
," Daybed with Trundle 
Daybed:  87 Ã 43.5 Ã 37H 
Trundle:  76 Ã 40 Ã 11.5H ",4970,4970
," Daybed with Trundle 
Daybed:  82 Ã 41 Ã 36.25H 
Trundle:  76 Ã 40 Ã 11.5H ",4969GY,4969GY
," Metal Daybed with Trundle 
Daybed:  82 Ã 41.75 Ã 48.25H 
Trundle:  76.75 Ã 40.25 Ã 4.25H ",4968BK-NT,4968BK-NT
," Metal Daybed with Trundle 
Daybed:  82 Ã 40.5 Ã 43.25H 
Trundle:  76.75 Ã 40.25 Ã 4.25 ",4967BK-NT,4967BK-NT
," Daybed with Trundle 
Daybed:  83.75 Ã 44 Ã 41.25H 
Trundle:  75.75 Ã 40.25 Ã 11.75H ",4966DG,4966DG
," Daybed with Trundle 
Daybed:  83.75 Ã 44 Ã 41.25H 
Trundle:  75.75 Ã 40.25 Ã 11.75H ",4966BR,4966BR
," Daybed with Trundle 
Daybed:  83.75 x 44 x 41.25H 
Trundle:  75.75 x 40.25 x 11.75H ",4966,4966
," Daybed with Trundle 
Daybed:  82 x 41 x 36.5H 
Trundle:  75.5 x 40.25 x 11.75H ",4949BK,4949BK
," Daybed with Trundle 
Daybed:  80.75 x 40.5 x 39.5H 
Trundle:  75.75 x 40.5 x 12.25H ",4950GY,4950GY
," Metal Daybed with Trundle 
Daybed:  82.5 x 42 x 42H 
Trundle:  76.75 x 41 x 4.25H ",4965W-NT,4965W-NT
," Metal Daybed with Trundle 
Daybed:  82.5 x 42 x 42H 
Trundle:  76.75 x 41 x 4.25H ",4964BK-NT,4964BK-NT
HB: 48.5H ,Twin Headboard,2026TPU-1HB,2026TPU-1HB
HB: 48.5H ,Twin Headboard,2025T-1HB,2025T-1HB
,"Metal Daybed with Trundle 
Daybed:  80.75 x 41.75 x 43.25H 
Trundle:  74 x 39 x 6H ",4962DB-NT,4962DB-NT
,"Metal Daybed with Trundle 
Daybed:  80 x 40.5 x 46.5H 
Trundle:  74 x 39 x 6H ",4961DB-NT,4961DB-NT
,"Metal Daybed with Trundle 
Daybed:  79 x 39.75 x 42H 
Trundle:  74 x 39 x 6H ",4960DB-NT,4960DB-NT
,"Elegant Lounger 
Sofa:  82.5 x 32 x 34.75H 
Bed:  82.5 x 43 x 24H ",4829LN,4829LN
,"Elegant Lounger 
Sofa:  82.5 x 32 x 34.75H 
Bed:  82.5 x 68 x 25.5H ",4838,4838
,"Elegant Lounger 
Sofa:  82.5 x 32 x 34.75H 
Bed:  82.5 x 43 x 24H ",4829DB,4829DB
," Daybed with Trundle 
Daybed:  80.75 x 40.5 x 39.5H 
Trundle:  75.75 x 40.5 x 12.25H ",4950,4950
102 x 42 x 63.5H,Bunk Bed with Step Storages,B2250-1,B2250-1
,"Twin/Full Loft Bed 
Upper Twin Bed:  81 x 43 x 65H 
Lower Full Bed:  81 x 58 x 32.5H ",B2008TF-1,B2008TF-1
HB: 31.5H FB: 14.15H,Twin Platform Bed,5794AK-1,5794TAK-1
HB: 31.5H FB: 14.15H,Twin Platform Bed,5794T-1,5794T-1
